"0","Le Jardin de Panos","Restaurant Le Jardin de Panos","521 Ave Duluth E","521 Avenue Duluth E","H2L1A5","H2L 1A8","Montreal","Montréal","zomato_17852","yelp_30829","0.7535390199637023"
"0","Orchid Thai","Orchid Thai","15474 Yonge Street","15474 Yonge Street",,"L4G 1P2","Toronto","Aurora","zomato_5561","yelp_38906","1.0"
"0","Vaqueros Carne Asada","Vaqueros Carne Asada","6430 E Main St","6430 E Main St","85205","85205","Mesa","Mesa","zomato_13588","yelp_47623","1.0"
"0","Restaurant Thailande","Restaurant Thailande","88 Rue Bernard Ouest","88 Rue  Bernard Ouest","H2T2J8","H2T 2J8","Montreal","Montréal","zomato_15357","yelp_12491","1.0"
"0","Uncle Angelo's Pizza Joint","Uncle Angelo's Pizza Joint","1821 N Las Vegas Boulevard","1821 Las Vegas Blvd N","89030","89030","Las Vegas","North Las Vegas","zomato_485","yelp_56568","0.8153846153846154"
"0","Thai Chili","Thai Chili","2879 N Green Valley Pkwy","2879 N Green Valley Pkwy","89014","89014","Las Vegas","Henderson","zomato_327","yelp_56474","1.0"
"0","Fun Buffet","Fun Buffet","9421 Rt 14","9421 State Rt 14","44241","44241","Cleveland","Streetsboro","zomato_19493","yelp_28487","0.775"
"0","Chipotle Mexican Grill","Chipotle Mexican Grill","4984 S Power Rd","2849 N Power Rd","85212","85215","Mesa","Mesa","zomato_13349","yelp_8615","0.8400000000000001"
"0","Restaurant Ambala","Restaurant Ambala","3887 Rue St-Denis","3887 Rue Saint-Denis","H2W2M3","H2W 2M4","Montreal","Montréal","zomato_14292","yelp_49861","0.91"
"0","Wok Cafe","Wok Cafe","1845 Rue Ste-Catherine W","1845 Rue Sainte-Catherine O","H3H","H3H 1M2","Montreal","Montreal","zomato_15973","yelp_40863","0.9111111111111111"
"0","Best Gyros","Best Gyros","6629 Mayfield Rd","6629 Mayfield Rd","44124","44124","Cleveland","Mayfield Heights","zomato_20448","yelp_13923","1.0"
"0","Hidalgo Mexican Food","Pedritos Mexican Food","801 E Broadway Rd","2753 E Broadway Rd","85204","85204","Mesa","Mesa","zomato_13594","yelp_11997","0.7523809523809524"
"0","Restaurant Rajastan","Restaurant Ambala","3666 Rue Saint-Denis","3887 Rue Saint-Denis","H2X3L7","H2W 2M4","Montreal","Montréal","zomato_14276","yelp_49861","0.7836842105263158"
"0","Tortas Paquime","Tortas Paquime","4344 W Indian School Rd","4344 W Indian School Rd","85031","85031","Phoenix","Phoenix","zomato_3106","yelp_52430","1.0"
"0","Viet Thai Bistro","Viet Thai Bistro","15566 McIvor Blvd SE","15566 McIvor Blvd SE","T2Z","T2Z 4R5","Calgary","Calgary","zomato_9799","yelp_28594","1.0"
"0","Pedrito's Mexican Food III","Pedritos Mexican Food","1940 E Broadway Rd","2753 E Broadway Rd","85204","85204","Mesa","Mesa","zomato_13584","yelp_11997","0.7897435897435898"
"0","Subway","Subway","1229 E Mckellips Rd # 104","4425 E McKellips Rd","85203","85215","Mesa","Mesa","zomato_14123","yelp_24545","0.817391304347826"
"0","Macaroni Bar","Macaroni Bar","4448 Boulevard Saint-Laurent","4448 Boulevard Saint Laurent","H2W1Z5","H2W 1Z5","Montreal","Montréal","zomato_16494","yelp_25396","1.0"
"0","Hooley House","Hooley House Sports Pub & Grille","7861 Reynolds Rd","7861 Reynolds Rd","44060","44060","Cleveland","Mentor","zomato_20052","yelp_2696","0.76"
"0","Super Gyros Restaurant","Super Gyro","199 Boul D'Anjou","199 Boul D'anjou","J6K5B7","J6J 2R3","Montreal","Chateauguay","zomato_17879","yelp_49125","0.7818181818181819"
"0","Calistoga Grill","Calistoga Grill","235 Boul St Jean","235 Boulevard Saint-Jean","H9R3J1","H9R 3J1","Montreal","Pointe-Claire","zomato_14995","yelp_22414","0.8"
"0","Sorrel","Sorrel","1158 Yonge Street","1158 Yonge Street","M4W 2L9","M4W 2L9","Toronto","Toronto","zomato_6193","yelp_3327","1.0"
"0","MOD Pizza","MOD Pizza","3121 W Peoria Ave","3121 W Peoria Ave","85029","85029","Phoenix","Phoenix","zomato_2945","yelp_32062","1.0"
"0","Northfield Inn","Northfield Inn Restaurant & Lounge Bar","10520 Northfield Rd","10520 Northfield Rd","44067","44067","Cleveland","Northfield","zomato_20368","yelp_12548","0.7555555555555555"
"0","Il Mulino","Il Mulino","1060 Eglinton Avenue West","1060 Eglinton Avenue W","M6C 2C5","M6C 2C5","Toronto","Toronto","zomato_4548","yelp_9625","0.928"
"0","Mangiafoco","Mangiafoco","105 Rue St-Paul O","105 Rue Saint-Paul O","H2Y1Z5","H2Y 1Z3","Montreal","Montréal","zomato_17698","yelp_14892","0.91"
"0","Ray's Pizza","Famous Ray's Pizza","350 E Bell Rd","350 E Bell Rd","85022","85022","Phoenix","Phoenix","zomato_2526","yelp_6074","0.8444444444444444"
"0","Ital Vera Pizza","Ital Vera Pizza","270 Chancellor Drive","270 Chancellor Dr",,"L4L 7M1","Toronto","Woodbridge","zomato_5408","yelp_38758","0.91"
"0","Green Chili","Green Chili","1434 - 17th Ave SW","1454 17 Ave SW","T2T0C8","T2T","Calgary","Calgary","zomato_8756","yelp_3179","0.8875"
"0","Zaba's Mexican Grill","Ori'Zaba's Scratch Mexican Grill","6630 N Durango Dr","6630 N Durango Dr","89149","89149","Las Vegas","Las Vegas","zomato_1149","yelp_46255","0.85"
"0","Les Cons Servent","Les Cons Servent","5064 Papineau","5064 Papineau Av","H2H1B3","H2H 1V8","Montreal","Montréal","zomato_17828","yelp_37272","0.8875"
"0","Asian Village Wok and Grill","Asian Village Wok and Grill","736 8 Ave SW","736 8 Ave SW","T2P 1H4","T2P 1H3","Calgary","Calgary","zomato_9251","yelp_45333","1.0"
"0","MakMak","Makmak","4219 Rue Notre-Dame O","4219 Notre-Dame Ouest","H4C1R5","H4C","Montreal","Montréal","zomato_14328","yelp_354","0.7714285714285715"
"0","Trawler's Seafood Kitchen","Trawler's Seafood Kitchen","1515 14 St SW","1515C 14 Street SW","T3C0X9","T3C 1E1","Calgary","Calgary","zomato_10203","yelp_33729","0.8333333333333333"
"0","Bottega","Bottega","65 Rue St-Zotique E","65 Rue Saint-Zotique E","H2S1K7","H2S 1K7","Montreal","Montréal","zomato_17654","yelp_13264","0.9181818181818182"
"0","Wing Lei","Wing Lei","3131 S Las Vegas Blvd","3131 Las Vegas Blvd S","89109","89109","Las Vegas","Las Vegas","zomato_17","yelp_12849","0.8857142857142857"
"0","Red Lobster","Red Lobster","368 Queen Street East","368 Queen Street E.","L6V 1C3","L6V 1C3","Toronto","Brampton","zomato_3769","yelp_46215","0.9142857142857144"
"0","Caribbean Curry House","Caribbean Curry House","6892 Ave Victoria","6892 Avenue Victoria","H3W1B8","H3W 1B8","Montreal","Montréal","zomato_15117","yelp_54694","0.91"
"0","Van Son Vietnamese Cuisine","Van Son Vietnamese Cuisine","308 16 Ave NW","308 16 Avenue NW","T1X 0R9","T2M 0H6","Calgary","Calgary","zomato_8873","yelp_42025","0.8875"
"0","Archi's Thai Bistro","Archi's Thai Bistro","6345 S Rainbow Boulevard","6345 S Rainbow Blvd, Ste 100","89118","89118","Las Vegas","Las Vegas","zomato_1213","yelp_10790","0.7777777777777778"
"0","Golden Crisp Fish and Chips","Golden Crisp Fish & Chips","1354 Weston Road","1354 Weston Road",,"M6M 4R8","Toronto","York","zomato_4832","yelp_8548","0.9407407407407408"
"0","Shaan Tandoori","Shaan Tandoori","2550 Boul Lapiniere #101","2550 Boulevard Lapinière, Suite 101","J4Z1R9","J4Z 1R9","Montreal","Brossard","zomato_14300","yelp_49995","0.788235294117647"
"0","Market Street Catch","Market Street Catch","14 Market Street","14 Market Street","M5E 1C3","M5E 1C3","Toronto","Toronto","zomato_3752","yelp_21092","1.0"
"0","Carlos & Pepe's","Carlos & Pepes","1420 Rue Peel","1420 Rue Peel","H3A1T5","H3A 1S8","Montreal","Montréal","zomato_15098","yelp_1021","0.9692307692307692"
"0","Rosati's Pizza","Rosati's Pizza","1035 North Ellsworth Rd #104","1035 N Ellsworth Rd",,"85207","Mesa","Mesa","zomato_13941","yelp_46630","0.8222222222222222"
"0","Cibo","Cibo","603 North 5th Avenue","603 N 5th Ave","85003","85003","Phoenix","Phoenix","zomato_3346","yelp_36713","0.79"
"0","HK Seafood Garden","HK Seafood Garden","4300 W Spring Mountain Rd","4300 W Spring Mountain Rd","89102","89102","Las Vegas","Las Vegas","zomato_55","yelp_51027","1.0"
"0","Milano's Pizza","Milano's Pizza","3886 Bloor Street West","3886 Bloor St W","M9B1L3","M9B 1L3","Toronto","Etobicoke","zomato_5326","yelp_12043","0.8090909090909091"
"0","Golden Fish and Chips","Golden Fish & Chips","32 Main Street South","32 Main Street S","L7J 1X4","L7G 3G4","Toronto","Georgetown","zomato_4846","yelp_35434","0.8038095238095238"
"0","Inchin's Bamboo Garden","Inchin's Bamboo Garden","5160 Great Northern Mall Blvd","5106 Great Northern Shop Ctr","44070","44070","Cleveland","North Olmsted","zomato_20519","yelp_52261","0.7931034482758621"
"0","Yogis Teriyaki Grill","Yogi's Teriyaki and Grill","1130 W Grove Ave","1130 W Grove Ave","85210","85210","Mesa","Mesa","zomato_13386","yelp_47587","0.92"
"0","Subway","Subway","1106 N Gilbert Rd","2487 S Gilbert Rd","85203","85296","Mesa","Gilbert","zomato_14103","yelp_8170","0.8235294117647058"
"0","Filiberto's Mexican Food","Filiberto's Mexican Food","3636 E Baseline Rd","5220 W. Baseline Road","85206","85339","Mesa","Laveen","zomato_13315","yelp_23595","0.79"
"0","Pizza Hut","Pizza Hut","4525 Kent Road","4525 Kent Rd","44224","44224","Cleveland","Stow","zomato_20774","yelp_10161","0.9142857142857144"
"0","Pizza Hut","Pizza Hut","4127 Frederica St","1219 Federal St","42301","15212","Owensboro","Pittsburgh","zomato_19105","yelp_28080","0.7529411764705882"
"0","King's Tacos","King's Tacos","1190 St. Clair Avenue West","1216 Saint Clair Avenue W","M6E 1B4","M6E","Toronto","Toronto","zomato_5442","yelp_37512","0.784"
"0","Mucho Burrito","Mucho Burrito","160 Stewart Green SW","160 Stewart Green SW","T3H 3C8","T3H 3C8","Calgary","Calgary","zomato_9655","yelp_33956","1.0"
"0","El Charrito Taqueria","El Charrito Taqueria","808 Edmonton Trail NE","808 Edmonton Trail NE","T2E3J6","T2E 3J6","Calgary","Calgary","zomato_9109","yelp_22736","1.0"
"0","Africana BBQ Curries Drinks","Africana Bbq Curries Drinks","3927 Edmonton Trail NE","3927 Edmonton Trail NE, Suite 7","T2E 6T1","T2E 6T1","Calgary","Calgary","zomato_8833","yelp_30035","0.8400000000000001"
"0","Subway","Subway","1221 S Gilbert Rd","2487 S Gilbert Rd","85204","85296","Mesa","Gilbert","zomato_14135","yelp_8170","0.8588235294117647"
"0","Thai Nouilles & Sushi","Thaï Nouilles et Sushi","11612 Boul De Salaberry","11612 Boulevard de Salaberry","H9B","H9B 2R8","Montreal","Dollard-Des-Ormeaux","zomato_15383","yelp_24400","0.8166666666666667"
"0","Pho So 1","Pho So 1","1609 Centre St N","1609 Centre Street NW","T2E2S2","T2E 2S2","Calgary","Calgary","zomato_8871","yelp_26030","0.8571428571428571"
"0","Pizza Hut","Pizza Hut","1331 Frederica St","1219 Federal St","42301","15212","Owensboro","Pittsburgh","zomato_19106","yelp_28080","0.7529411764705882"
"0","Tamarind East Indian Restaurant","Tamarind East Indian Restaurant","1110 Panatella Blvd NW","1110 Panatella Boulevard NW, Suite 610","T3K0B6","T3K 0G6","Calgary","Calgary","zomato_8745","yelp_55394","0.7567567567567568"
"0","Biff's Bistro","Biff's Bistro","4 Front Street East","4 Front Street  E","M5E 1G4","M5E 1G4","Toronto","Toronto","zomato_6113","yelp_26343","0.9052631578947368"
