,average_cost_for_two,cuisines,currency,establishment_types,has_online_delivery,has_table_booking,id,include_bogo_offers,is_book_form_web_view,is_delivering_now,is_table_reservation_supported,is_zomato_book_res,location.address,location.city,location.city_id,location.country_id,location.latitude,location.locality,location.locality_verbose,location.longitude,location.zipcode,medio_provider,mezzo_provider,name,offers,opentable_support,price_range,switch_to_order_menu,user_rating.aggregate_rating,user_rating.custom_rating_text,user_rating.custom_rating_text_background,user_rating.rating_color,user_rating.rating_text,user_rating.rating_tool_tip,user_rating.votes
0,65,"Hungarian, Eastern European",$,[],0,0,8901151,True,0,0,0,0,"10152 Yonge Street, Richmond Hill L4C 1T6",Toronto,89,37,43.8749470000,"Yonge Street, Richmond Hill","Yonge Street, Richmond Hill, Toronto",-79.4380800000,L4C 1T6,,OTHER,Rhapsody,[],0,3,0,3.9,,,9ACD32,Good,,41
0,50,Eastern European,$,[],0,0,17736389,True,0,0,0,0,"450 Scarborough Golf Club Road, Scarborough M1G1H1",Toronto,89,37,43.7543801151,"Scarborough Golf Club Road, Scarborough","Scarborough Golf Club Road, Scarborough, Toronto",-79.2157800123,M1G1H1,,OTHER,Prague Restaurant,[],0,2,0,3.8,,,9ACD32,Good,,25
0,25,"Eastern European, Desserts",$,[],0,0,8910019,True,0,0,0,0,"49 Baldwin Street, Toronto M5T1L3",Toronto,89,37,43.6558388889,"Baldwin Street, Grange Park","Baldwin Street, Grange Park, Toronto",-79.3938833333,M5T1L3,,OTHER,Crêpes Club,[],0,1,0,3.6,,,9ACD32,Good,,26
0,50,"Mediterranean, Middle Eastern, Eastern European",$,[],0,0,17736291,True,0,0,0,0,"531 Atkinson Avenue, Thornhill",Toronto,89,37,43.8176370000,Thornhill,Thornhill,-79.4505190000,,,OTHER,Yummy Grill Restaurant,[],0,2,0,3.5,,,9ACD32,Good,,24
0,43,Eastern European,$,[],0,0,17732978,True,0,0,0,0,"5659 McAdam Rd, Mississauga",Toronto,89,37,43.6254180000,Mississauga,Mississauga,-79.6629350000,,,OTHER,McAdam Place,[],0,2,0,4.0,,,5BA829,Very Good,,25
0,70,"Hungarian, Eastern European",$,[],0,0,8901840,True,0,0,0,0,"3030 Bathurst Street, North York M6B 3B6",Toronto,89,37,43.7182000000,"Bathurst Street, North York","Bathurst Street, North York, Toronto",-79.4297333333,M6B 3B6,,OTHER,Europe Bar and Restaurant,[],0,3,0,4.2,,,5BA829,Very Good,,22
0,125,"Eastern European, Russian",$,[],0,0,17735269,True,0,0,0,0,"1027 Finch Avenue West, Unit 7, North York M3J 2C7",Toronto,89,37,43.7680350000,"Finch Avenue West, North York","Finch Avenue West, North York, Toronto",-79.4699920000,M3J 2C7,,OTHER,Red Square Restaurant,[],0,4,0,3.6,,,9ACD32,Good,,14
0,60,"Georgian, Eastern European",$,[],0,0,8900941,True,0,0,0,0,"1118 Finch Avenue West, Unit 2, North York",Toronto,89,37,43.7675550000,"Finch Avenue West, North York","Finch Avenue West, North York, Toronto",-79.4752040000,,,OTHER,Georgia Restaurant,[],0,3,0,3.3,,,CDD614,Average,,14
0,25,"European, Eastern European",$,[],0,0,17737163,True,0,0,0,0,"29 King Street East, Clarington L1C1N2",Toronto,89,37,43.9119190000,Clarington,Clarington,-78.6884060000,L1C1N2,,OTHER,Norm's Delicatessen,[],0,1,0,3.8,,,9ACD32,Good,,17
0,80,"Ukrainian, Eastern European",$,[],0,0,17732188,True,0,0,0,0,"15 Canmotor Avenue, Etobicoke",Toronto,89,37,43.6230270000,Etobicoke,Etobicoke,-79.5108870000,,,OTHER,Golden Lion Restaurant & Bar,[],0,3,0,3.4,,,CDD614,Average,,7
0,20,Eastern European,$,[],0,0,16547795,True,0,0,0,0,"582 Parliament Street, Toronto",Toronto,89,37,43.6678260000,"Parliament Street, Cabbagetown","Parliament Street, Cabbagetown, Toronto",-79.3695340000,,,OTHER,Euro Bite,[],0,1,0,3.1,,,CDD614,Average,,5
0,0,"Italian, Eastern European, Canadian",$,[],0,0,17737660,True,0,0,0,0,"3700 Steeles Ave West, Woodbridge",Toronto,89,37,43.7717690000,"Steeles Avenue West, Woodbridge","Steeles Avenue West, Woodbridge, Toronto",-79.5428150000,,,OTHER,Midan Restaurant,[],0,1,0,3.6,,,9ACD32,Good,,2
